Transect,Meter,Zone,Eggs,Carapace.length.mm
1,6,Swash,Absent,12
1,6,Swash,Absent,15
1,7,Swash,Absent,18
1,7,Swash,Absent,17
1,8,Swash,Absent,29
1,8,Swash,Absent,13
1,8,Swash,Absent,14
1,8,Swash,Absent,11
1,8,Swash,Absent,12
1,8,Swash,Absent,16
1,8,Swash,Absent,14
1,8,Swash,Absent,13
1,8,Swash,Absent,12
1,8,Swash,Absent,16
1,8,Swash,Absent,15
1,9,Swash,Absent,28
1,9,Swash,Absent,11
1,9,Swash,Present,30
1,9,Swash,Absent,15
1,10,Swash,Present,32
1,10,Swash,Absent,12
2,9,Swash,Absent,30
2,9,Swash,Absent,21
2,9,Swash,Absent,20
2,9,Swash,Absent,19
2,9,Swash,Absent,19
2,9,Swash,Absent,20
2,9,Swash,Absent,19
2,9,Swash,Absent,19
2,9,Swash,Absent,19
2,9,Swash,Absent,19
2,9,Swash,Absent,19
2,9,Swash,Absent,19
2,9,Swash,Absent,20
2,9,Swash,Absent,18
2,9,Swash,Absent,19
2,9,Swash,Absent,20
2,9,Swash,Absent,19
2,8,Swash,Absent,15
2,8,Swash,Absent,17
2,7,Swash,Absent,20
2,7,Swash,Absent,13
2,7,Swash,Absent,13
2,7,Swash,Absent,16
2,7,Swash,Absent,11
2,7,Swash,Absent,16
2,6,Swash,Absent,19
2,6,Swash,Absent,18
2,6,Swash,Absent,20
2,6,Swash,Absent,18
2,6,Swash,Absent,13
2,6,Swash,Absent,13
2,6,Swash,Absent,12
2,5,Swash,Absent,19
3,10,Swash,Absent,20
3,10,Swash,Absent,19
3,9,Swash,Absent,12
3,9,Swash,Absent,11
3,8,Swash,Absent,20
3,8,Swash,Absent,13
3,7,Swash,Absent,11
3,7,Swash,Absent,19
3,7,Swash,Absent,19
3,7,Swash,Absent,16
3,7,Swash,Absent,19
3,7,Swash,Absent,17
3,7,Swash,Absent,18
3,7,Swash,Absent,14
3,7,Swash,Absent,11
3,7,Swash,Absent,13
3,7,Swash,Absent,13
3,7,Swash,Absent,12
3,6,Swash,Absent,15
3,6,Swash,Absent,13
3,6,Swash,Absent,20
3,5,Swash,Absent,18
3,5,Swash,Absent,14
3,5,Swash,Absent,17
4,1,Dry,Absent,19
4,6,Swash,Absent,18
4,8,Swash,Absent,10
4,8,Swash,Absent,19
4,8,Swash,Absent,20
4,8,Swash,Absent,22
4,8,Swash,Absent,18
4,9,Swash,Absent,18
4,9,Swash,Absent,20
4,9,Swash,Absent,18
4,9,Swash,Absent,22
4,9,Swash,Absent,23
4,9,Swash,Absent,22
4,9,Swash,Absent,20
4,9,Swash,Absent,16
4,9,Swash,Absent,20
4,9,Swash,Absent,22
4,9,Swash,Absent,20
4,9,Swash,Absent,20
4,9,Swash,Absent,21
5,3,Dry,Absent,15
5,6,Swash,Absent,24
5,7,Swash,Absent,19
5,7,Swash,Absent,20
5,7,Swash,Absent,19
5,8,Swash,Absent,20
5,8,Swash,Absent,20
5,8,Swash,Absent,20
5,10,Swash,Absent,22
