Transect,Meter,Zone,Ovigerous,Non.ovigerous,Recruits
1,1,Dry,0,1,0
1,2,Dry,1,1,2
1,3,Dry,0,1,13
1,4,Dry,1,1,10
1,5,Swash,10,0,17
1,6,Swash,4,8,18
1,7,Swash,7,5,21
1,8,Swash,6,9,36
1,9,Swash,0,6,35
1,10,Swash,3,0,30
2,1,Dry,1,1,0
2,2,Dry,0,1,1
2,3,Dry,0,0,20
2,4,Dry,0,1,5
2,5,Swash,7,5,20
2,6,Swash,2,1,37
2,7,Swash,0,0,0
2,8,Swash,1,10,37
2,9,Swash,1,0,18
2,10,Swash,8,9,8
3,1,Dry,1,0,2
3,2,Dry,0,0,2
3,3,Dry,0,1,5
3,4,Dry,1,1,18
3,5,Swash,7,2,6
3,6,Swash,8,7,17
3,7,Swash,10,7,28
3,8,Swash,9,4,22
3,9,Swash,2,3,15
3,10,Swash,0,9,32
4,1,Dry,1,1,2
4,2,Dry,1,0,2
4,3,Dry,0,0,8
4,4,Dry,0,0,19
4,5,Swash,4,5,37
4,6,Swash,2,8,24
4,7,Swash,8,9,6
4,8,Swash,7,2,22
4,9,Swash,2,6,30
4,10,Swash,5,7,22
5,1,Dry,1,0,2
5,2,Dry,1,0,1
5,3,Dry,0,1,11
5,4,Dry,1,0,17
5,5,Swash,7,5,26
5,6,Swash,8,10,35
5,7,Swash,0,8,16
5,8,Swash,1,5,14
5,9,Swash,10,3,35
5,10,Swash,7,4,12
