Transect,Meter,Zone,Eggs,Carapace.length.mm
1,3,Dry,Absent,11
1,4,Dry,Absent,10
1,4,Dry,Absent,12
1,4,Dry,Absent,11
1,4,Dry,Absent,12
1,4,Dry,Absent,21
1,6,Swash,Present,33
1,6,Swash,Present,27
1,6,Swash,Absent,22
1,6,Swash,Absent,23
1,6,Swash,Absent,23
1,6,Swash,Absent,22
1,6,Swash,Absent,21
1,6,Swash,Absent,22
1,6,Swash,Absent,21
1,6,Swash,Absent,13
1,6,Swash,Absent,13
1,6,Swash,Absent,12
1,6,Swash,Absent,21
1,6,Swash,Absent,21
1,7,Swash,Absent,22
1,8,Swash,Absent,21
1,8,Swash,Absent,22
1,9,Swash,Absent,23
1,9,Swash,Absent,17
1,9,Swash,Absent,14
1,10,Swash,Absent,10
2,9,Swash,Absent,15
2,7,Swash,Absent,13
2,7,Swash,Absent,14
2,7,Swash,Absent,14
2,7,Swash,Absent,13
2,7,Swash,Absent,25
2,7,Swash,Absent,15
2,6,Swash,Absent,30
2,6,Swash,Absent,14
2,6,Swash,Absent,14
2,6,Swash,Absent,14
2,6,Swash,Absent,30
2,6,Swash,Absent,15
2,6,Swash,Absent,14
2,6,Swash,Absent,14
2,6,Swash,Absent,14
2,6,Swash,Absent,30
2,6,Swash,Absent,14
2,6,Swash,Absent,14
2,6,Swash,Absent,14
2,5,Swash,Absent,10
2,5,Swash,Absent,10
2,5,Swash,Absent,10
2,4,Swash,Absent,15
2,4,Swash,Absent,15
2,4,Swash,Absent,15
2,4,Swash,Absent,31
2,4,Swash,Absent,15
3,8,Swash,Absent,10
3,7,Swash,Absent,16
3,7,Swash,Absent,15
3,6,Swash,Absent,10
3,6,Swash,Absent,10
3,6,Swash,Absent,24
3,6,Swash,Absent,10
3,6,Swash,Absent,10
3,6,Swash,Absent,10
3,6,Swash,Absent,10
3,6,Swash,Absent,10
3,6,Swash,Absent,10
3,6,Swash,Absent,10
3,6,Swash,Absent,10
3,6,Swash,Absent,10
3,5,Swash,Absent,25
3,5,Swash,Absent,28
3,5,Swash,Absent,15
3,5,Swash,Absent,15
3,5,Swash,Absent,15
3,5,Swash,Absent,15
3,5,Swash,Absent,15
3,4,Swash,Absent,31
5,9,Swash,Absent,13
5,7,Swash,Absent,21
5,7,Swash,Absent,21
5,7,Swash,Absent,19
5,7,Swash,Absent,18
5,7,Swash,Absent,15
5,7,Swash,Absent,16
5,7,Swash,Absent,14
5,7,Swash,Absent,14
5,7,Swash,Absent,11
5,6,Swash,Absent,24
5,6,Swash,Absent,18
5,6,Swash,Absent,17
5,6,Swash,Absent,16
5,6,Swash,Absent,15
5,6,Swash,Absent,16
5,6,Swash,Absent,15
5,6,Swash,Absent,12
5,6,Swash,Absent,13
5,6,Swash,Absent,12
5,6,Swash,Absent,11
5,5,Dry,Absent,20
5,5,Dry,Absent,18
5,5,Dry,Absent,17
5,5,Dry,Absent,16
5,5,Dry,Absent,14
5,5,Dry,Absent,13
5,4,Dry,Absent,20
5,4,Dry,Absent,19
5,4,Dry,Absent,19
5,4,Dry,Absent,16
5,3,Dry,Absent,17
5,3,Dry,Absent,17
5,3,Dry,Absent,16
5,3,Dry,Absent,15
5,3,Dry,Absent,16
5,3,Dry,Absent,14
5,3,Dry,Absent,12
5,3,Dry,Absent,17
5,3,Dry,Absent,16
5,3,Dry,Absent,14
5,3,Dry,Absent,11
